state,N,P,K,temperature,humidity,ph,rainfall,season,crop
Assam,92.72,44.09,58.62,18.87,82.7,6.81,0.32,October to March,potato
Assam,66.19,42.77,65.34,21.76,89.7,6.5,3.78,April to September,tea
Tamil Nadu,82.25,34.63,51.34,31.87,53.9,7.49,12.74,June to September,jowar
Bihar,69.92,44.48,51.9,27.76,71.3,7.25,0.34,June to October,maize
Manipur,78.61,32.56,53.18,24.55,77.5,6.26,3.01,September to March,tomato
Punjab,96.91,40.03,63.44,16.88,44.5,6.49,0,November to March,wheat
Tamil Nadu,114.1,58.84,92.56,28.97,85.5,6.49,3.9,February to October,sugarcane
Madhya Pradesh,126.91,41.5,43.73,16.75,56.1,6.88,3,November to March,wheat
West Bengal,64.63,42.73,53.94,28.45,48.3,7.15,3.02,June to September,jowar
West Bengal,90.68,45.25,74.11,24.44,86.3,5.32,3.62,April to September,tea
West Bengal,63.22,38.26,37.92,28.1,69.5,6.33,0.13,June to October,maize
Tamil Nadu,69.55,50.08,47.82,24.08,64.5,5.5,0.63,June to September,soybean
Gujarat,63.88,40.42,52.88,31.78,64.1,6.65,0.09,June to September,cotton
Kerala,81.76,49.07,94.27,19.94,88.2,6.12,4.66,April to September,tea
Gujarat,60.84,32.97,51.88,29.86,66.2,7.13,0.33,June to September,cotton
Kerala,72.58,44.69,72.24,22.01,61.4,6.24,6.58,October to March,onion
Uttar Pradesh,99.88,75,96.82,29.39,73.2,6.13,1.03,February to October,sugarcane
Maharashtra,74.27,46.33,56.95,29.27,85.6,5.85,3.17,June to September,rice
Tripura,96.26,46.75,67.94,26.14,79.4,4.5,4.89,April to September,tea
West Bengal,71.93,56.52,61.09,30.31,80.5,6.06,0.57,June to September,rice
Jharkhand,45.61,37.45,33.98,28.05,73.2,6.92,6.66,June to September,soybean
Tripura,90.89,39.92,58.65,22.79,92.8,5.01,13.23,April to September,tea
Haryana,73.81,39.31,53.12,20.2,58.2,6.89,0.35,October to March,onion
Jharkhand,57.31,39.14,66.22,26.24,74.5,6.65,4.4,June to September,cotton
Kerala,75.96,35.82,49.3,24.59,70.5,7.44,1.23,September to March,tomato
Uttarakhand,64.72,42.97,60.52,30.72,53.6,6.46,2.42,June to September,jowar
Rajasthan,37.64,37.2,42.52,22.71,45.6,6.59,0.03,October to February,pulses
Maharashtra,57.22,52.11,51.35,28.15,77.2,6.85,0,June to September,rice
Tamil Nadu,68.14,49.2,81.61,21.9,85.7,5.2,2.28,March to September,coffee
Punjab,114.99,39.44,50.13,15.41,61.3,6.71,0,November to March,wheat
Manipur,49.26,38.68,63.74,21.73,70.6,7.11,3.76,October to March,onion
Haryana,60.42,39.41,63.43,19.38,61.5,6.56,0.68,October to March,onion
Tripura,77.36,46.74,60.94,24.97,87.6,6.38,1.09,April to September,tea
Punjab,93.86,44.27,42.52,14.78,58.6,7.52,0.22,November to March,wheat
Punjab,105.37,51.12,58.56,10.94,53.7,6.96,0.28,November to March,wheat
Bihar,79.52,50.08,42.05,28.2,92.5,6.67,10.59,June to September,rice
Punjab,74.99,35.07,76.2,18.6,62.8,7.5,3.96,October to March,onion
Rajasthan,63.05,25.22,37.48,36.19,38.2,6.28,0,June to September,bajra
Kerala,50.91,35.07,80.39,30.47,65.4,7,1.62,June to September,cotton
Nagaland,50.86,31.71,60.02,29.71,72,6.57,0,June to September,cotton
Haryana,27.68,33.35,33.77,21.23,53.3,7.27,2.84,October to February,pulses
Uttarakhand,57.16,26.49,49.96,24.44,57.1,7.03,0.53,September to March,tomato
Goa,41.53,43.43,43.15,28.66,79.9,6.06,11.09,June to September,groundnut
Chhattisgarh,51.73,37.76,42.8,28.76,66.7,6.46,0,June to September,soybean
Tamil Nadu,49.81,25.84,54.47,35.16,43.4,6.87,1.92,June to September,bajra
Karnataka,42.74,44.8,69.45,23.62,93,6.25,8.65,March to September,coffee
Rajasthan,100.8,41.01,36.25,26.62,53.1,5.74,0,June to October,maize
Assam,74.67,49.73,51.15,25.07,78.8,5.82,1.7,April to September,tea
Telangana,65.42,32.32,61.28,28.01,64.6,6.85,3.96,June to September,cotton
Punjab,95.22,43.93,45.23,15.77,52.8,7.13,1.45,November to March,wheat
West Bengal,51.77,36.57,41.47,30.56,56.1,6.83,0.91,June to September,jowar
Tamil Nadu,83.49,50.58,35.61,26.59,62.5,6.31,1.16,June to October,maize
Tamil Nadu,52.26,24.01,25.54,23.28,64.8,7,0.13,October to February,pulses
Chhattisgarh,83.75,32.36,53.54,23.36,67.1,7.02,1.6,September to March,tomato
Madhya Pradesh,101.41,47.5,45.62,13.47,59.2,7.43,0.93,November to March,wheat
Tamil Nadu,61.53,44.98,67.05,25.55,80.8,5.41,4.39,March to September,coffee
Maharashtra,118.17,53.62,94.69,30.74,78.6,6.07,0,February to October,sugarcane
Nagaland,59.62,31.89,42.69,25.89,67.9,6.89,0.37,September to March,tomato
Tamil Nadu,107.86,51.06,104.64,31.12,80.5,6.38,2,February to October,sugarcane
Uttar Pradesh,114.25,61.9,82.95,28.56,76.8,6.73,2.56,February to October,sugarcane
Andhra Pradesh,84.38,44.47,42.86,26.68,72.8,6.32,2.25,June to October,maize
Assam,96.1,49.42,41.89,27.36,71.2,6.11,3.27,June to October,maize
West Bengal,77.92,51.07,46.48,29.15,87.6,5.91,32.19,June to September,rice
Madhya Pradesh,106.44,43.92,52.32,18.5,55,7.12,2.91,November to March,wheat
Goa,71.48,35.7,54.04,27.84,61.7,7.2,0.51,June to September,cotton
Maharashtra,43.4,27.68,31.85,24.76,64,6.81,2.59,October to February,pulses
Jharkhand,50.04,28.92,55.9,26.57,63.7,6.78,0.42,September to March,tomato
Manipur,59.47,46.45,33.11,27.99,68.7,6.93,0,June to September,soybean
Haryana,75.76,36.11,65.96,23.49,63.6,7.09,0.64,September to March,tomato
Tamil Nadu,86.94,38.52,51.23,32.63,50.8,5.74,0.65,June to September,jowar
Haryana,54.01,38.55,55.71,20.48,66.2,6.54,1.29,October to March,onion
Karnataka,62.69,55.59,82.54,21.05,83.1,6.5,4.28,March to September,coffee
Madhya Pradesh,60.63,41.75,46.81,26.99,72.4,6.59,1.42,June to October,maize
Tamil Nadu,60.52,35.37,49.53,27.55,72.9,5.67,0.81,September to March,tomato
West Bengal,72.09,31.32,58.37,24.2,75.7,7.02,0.84,September to March,tomato
Maharashtra,58.46,43.45,42.42,29.01,63.7,5.97,0,June to September,cotton
Odisha,89.26,46.38,70.22,18.2,71,6.68,0.83,October to March,potato
Kerala,60.95,44.53,65.21,25.66,86.4,5.79,1.67,March to September,coffee
Tripura,72.87,38.92,90.71,20.5,87.1,5.06,7.98,April to September,tea
Assam,74.95,46.27,66.3,25.31,84.4,4.89,16.99,April to September,tea
Kerala,49.91,33.34,41.52,33.45,60,7.22,0.9,June to September,bajra
West Bengal,82.08,54.8,49.26,29.15,80.7,6.67,30.36,June to September,rice
Kerala,45.09,29.77,34.72,25.11,61.1,7.32,4.43,October to February,pulses
Andhra Pradesh,88.76,38.24,33.83,26.2,67.6,5.5,0.28,June to October,maize
Maharashtra,85.13,39.5,60.89,26.78,81,6.99,7.45,June to September,rice
Haryana,90.46,39.04,58.61,15.44,44,7.39,0.62,November to March,wheat
Andhra Pradesh,65.25,42.32,58.86,18.68,79.8,6.45,2.74,October to March,potato
Assam,72.73,45.53,61.24,25.42,95,5.14,17.25,April to September,tea
Karnataka,67.68,34.41,63.52,23.72,67.5,6.3,4.71,October to March,onion
Bihar,94.71,43.29,67.23,26.9,82.9,7.16,3.23,June to September,rice
Kerala,62.37,54.05,58.5,24.2,85.6,5.22,1.81,March to September,coffee
Uttarakhand,33.86,33.91,42.45,27.78,76.2,5.96,1.55,June to September,groundnut
Punjab,60.35,36.51,45.77,27.94,50.5,6.88,0.04,September to March,tomato
Punjab,79.97,39.18,61.41,21.28,52.3,7.35,0.29,October to March,onion
Rajasthan,57.41,27.76,42.92,31.25,48,7.33,1.95,June to September,jowar
Assam,50.04,45.2,81.9,20.19,72.5,7.19,5.32,October to March,onion
Tamil Nadu,66.9,39.99,51.8,21.6,59.4,5.91,0.16,September to March,tomato
Assam,75.07,46.72,57.43,19.83,85.4,5.64,0,April to September,tea
Himachal Pradesh,85.73,36.77,46.82,28.64,52.5,5.98,2.14,June to September,jowar
Madhya Pradesh,47.69,29.46,45.4,19.22,64.1,6,0,October to February,pulses
West Bengal,50.4,48.57,56.59,26.74,72.4,6.32,0.74,September to March,tomato
Assam,75.53,42.33,68.54,23.6,85.7,4.52,18.67,April to September,tea
Kerala,62.89,53.71,67.2,23.14,85.3,5.22,18.71,March to September,coffee
Uttar Pradesh,107.27,62.61,81.82,29.34,77.2,7.07,2.08,February to October,sugarcane
Kerala,45.69,43.51,49.3,20.74,92.7,6.07,22.09,March to September,coffee
Karnataka,61.8,46.45,57.65,25.69,79.4,6.22,0,March to September,coffee
Karnataka,99.35,66.77,105.63,32.18,76.4,7.19,0.23,February to October,sugarcane
Kerala,67.93,39.97,53,24.62,82.2,5.63,1.63,March to September,coffee
West Bengal,64.76,42.07,45.88,28.23,65.7,6.15,0,June to September,jowar
Andhra Pradesh,63.89,51.13,42.6,30.35,66.4,6.52,1.41,June to September,cotton
Tripura,77.03,50.5,78.86,23.72,88.8,5.65,23.78,April to September,tea
Maharashtra,37.15,27.38,47.47,20.42,60.4,6.53,0,October to February,pulses
Kerala,99.19,45.76,42.7,25.62,87,6.9,9.56,June to September,rice
Nagaland,57.55,29.39,49.46,28.86,56.8,6.59,5.05,June to October,maize
Rajasthan,34.06,34.3,47.9,30.31,72,6.86,0.14,June to September,groundnut
Manipur,50.12,40.93,45.5,26.33,72.6,6.07,3.55,June to September,soybean
Karnataka,54.3,52.54,62.17,24,80.1,5.9,0.79,March to September,coffee
Manipur,66.84,48.28,39.71,28.03,66.3,6.62,6.54,June to October,maize
Tripura,79.14,45.67,52.12,18.03,80.3,6.48,0.45,October to March,potato
Andhra Pradesh,56.35,27.67,50.52,27.46,64.5,7.01,0.96,September to March,tomato
Rajasthan,36.24,35.12,43.02,31.27,67.5,5.6,1.99,June to September,groundnut
Telangana,64.09,46.76,47.48,31.4,60,6.2,3.44,June to September,cotton
Manipur,69.3,40.21,51.17,26.86,51.2,6.7,2.75,June to October,maize
Haryana,67.37,41.21,65.63,27.39,46.2,6.48,0,June to September,jowar
Manipur,48.19,33.21,45.48,27.91,66.8,7.05,0.59,June to September,soybean
Tripura,72.7,35.18,31.52,23.66,74.3,6.68,9.22,June to October,maize
Kerala,81.45,51.32,75.83,22.74,90.8,5.06,5.11,April to September,tea
Karnataka,59.16,40.41,55.65,29.09,46.8,6.93,1.12,June to September,jowar
Andhra Pradesh,75.28,44.08,38.55,26.6,70.6,5.8,0.82,June to October,maize
Rajasthan,71.9,42.87,51.67,25.82,59.8,6.58,1.09,June to September,cotton
Jharkhand,37.74,26.59,37.87,22.47,60.2,6.89,0,October to February,pulses
Rajasthan,32.11,34.82,43.52,30.72,63.2,6.3,4.23,June to September,groundnut
Assam,78.47,45.33,52.39,26.99,90.6,5.72,0,June to September,rice
Uttar Pradesh,43.06,33.05,22.77,20.35,51,7.58,1.58,October to February,pulses
Maharashtra,42.33,26.54,34.06,21.08,55.3,7.21,2.16,October to February,pulses
Bihar,62.03,24.17,33.91,23,60.7,6.78,0,October to February,pulses
Bihar,75.47,49.82,37.65,30.02,62.4,6.1,3,June to October,maize
Maharashtra,98.43,64.86,95.33,31.74,75.3,6.73,0.95,February to October,sugarcane
Assam,67.27,42.8,51.1,28.97,69.6,7.15,3.48,June to September,soybean
Kerala,67.03,46.23,54.11,25.36,70.6,6.28,0.35,June to October,maize
Tripura,70.49,37.34,76.24,27.06,75,5.36,23.27,April to September,tea
Haryana,72.24,50.6,85.54,20.67,69.3,6.07,0.78,October to March,potato
Kerala,74.56,46.78,49.14,30.02,83.1,6.2,4.43,June to September,rice
Uttar Pradesh,108.66,52.86,100.53,29.92,75.4,6.54,6.29,February to October,sugarcane
Kerala,33.48,32.33,39.16,22.6,66.8,6.77,0.4,October to February,pulses
Maharashtra,63.96,38.86,55.77,27,63.2,7.26,1.69,June to September,soybean
Assam,77.43,31.81,68.41,29.85,64.6,6.19,10.65,June to September,jowar
West Bengal,64.81,27.98,54.71,24.87,66.7,7.47,0.12,September to March,tomato
West Bengal,73.87,35,51.37,31.34,47.8,7.09,6.66,June to September,jowar
Punjab,69.07,49.18,66.83,19.72,60.4,6.41,0.77,October to March,potato
Haryana,45.78,34.9,30.06,18.66,55.4,7.37,0,October to February,pulses
Uttar Pradesh,93.55,72.11,92.41,30.42,81.2,6.58,1.94,February to October,sugarcane
Maharashtra,91.61,42.88,44.28,29.61,81.2,7.12,11.75,June to September,rice
Tripura,75.83,46.3,70.62,24.73,86.8,5.82,25.1,April to September,tea
Bihar,96.83,60.28,45.73,28.25,87.7,6.98,10.65,June to September,rice
Goa,31.29,39.25,39.17,30.13,83.8,5.05,1.94,June to September,groundnut
Odisha,74.88,35.88,58.07,29.88,57.7,6.53,3.18,June to September,jowar
Haryana,43.63,35.24,63.77,22.52,60.1,5.86,0.23,June to September,soybean
Andhra Pradesh,94.92,47.09,43.23,24.99,89.3,5.6,7.09,June to September,rice
Assam,74.09,46.69,46.06,28.68,63.3,6.53,1.81,June to September,cotton
Telangana,76.15,54.5,83.03,19.18,70.5,5.71,0.2,October to March,potato
Bihar,59.22,35.21,73.23,22.54,70.1,7.05,2.11,October to March,onion
Maharashtra,104.09,67.24,91.61,30.29,75.1,7.5,10.99,February to October,sugarcane
Punjab,63.88,36.81,33.24,24.22,61.2,6.6,0.29,June to September,soybean
Chhattisgarh,87.58,39.74,49.03,29.77,67.6,7.17,0.39,June to October,maize
Goa,73.71,46.45,49.44,29.79,52.7,7.45,1.34,June to September,jowar
Tamil Nadu,76.74,45.19,45.58,26.1,56.9,6.01,0.72,June to October,maize
Uttar Pradesh,34.81,32.63,29.55,29.98,70.8,6.89,1.46,June to September,groundnut
Assam,81.36,43.3,57.52,18.42,82.6,6.55,2.73,October to March,potato
Telangana,57.84,36.6,45.86,27.45,64.1,6.33,1.34,June to September,soybean
Maharashtra,116.77,47.12,99.62,27.69,72.3,6.88,0.45,February to October,sugarcane
Manipur,84.52,45.73,58.1,16.8,73.2,6.87,0,October to March,potato
Nagaland,63.26,31.82,47.87,23.36,71.8,7.22,1.52,September to March,tomato
Goa,57.29,38.68,46.11,33.64,48.6,6.7,4.35,June to September,bajra
Goa,65.02,52.52,49.42,26.85,58.4,7.08,14.45,June to September,jowar
Odisha,51.04,26.07,68.63,24.1,75.2,6.87,1.98,September to March,tomato
Himachal Pradesh,92.76,38.13,50.94,24.87,65.7,6.69,2.84,June to October,maize
Chhattisgarh,70.03,52.03,48.07,24.35,62,6.54,0.69,June to October,maize
Assam,68.6,45.45,80.77,26.66,92.3,5.76,0.71,April to September,tea
Andhra Pradesh,64.28,41.32,54.43,30.69,71,6.74,0.81,June to September,cotton
West Bengal,70.43,48.23,74.99,22.54,78.7,5.52,0,April to September,tea
Madhya Pradesh,94.33,58.72,49.23,18.72,55.7,6.73,0.05,November to March,wheat
Haryana,80.77,38.03,30.92,23.62,58.6,6.15,4.88,June to October,maize
Manipur,60,36.78,26.84,34.37,47.3,7.9,6.4,June to September,bajra
Tripura,84.91,49.42,89,22.33,82.3,5.78,2.31,April to September,tea
Odisha,34.88,35.51,43.33,23.46,54.4,7.09,0.05,October to February,pulses
Madhya Pradesh,39.58,31.98,47.46,29.5,73.5,6.78,2.25,June to September,groundnut
Uttar Pradesh,82.87,47.24,41.34,16.74,61.2,7.13,1.31,November to March,wheat
Tamil Nadu,59.42,50.54,66.02,25.11,85.8,5.83,2.98,March to September,coffee
Goa,45.33,41.7,33.86,26.86,59.1,6.58,0.29,October to February,pulses
Odisha,71.8,45.43,43.8,26.64,60.4,7.15,0.46,June to October,maize
Uttar Pradesh,113.95,60.98,81.09,30.51,76.8,6.83,0,February to October,sugarcane
Tamil Nadu,100.91,46.86,73.41,20.27,75.7,6.59,1.76,October to March,potato
Tamil Nadu,64.59,51.31,38.19,26.76,69.9,7.03,2.72,June to October,maize
Karnataka,61.48,51.25,54.79,22.19,86.3,5.8,2.96,March to September,coffee
Uttar Pradesh,93.99,69.16,104.84,31.82,81.6,6,8.34,February to October,sugarcane
Tamil Nadu,98.46,58.59,103.73,28.7,78.1,6.12,2.09,February to October,sugarcane
Bihar,54.41,35.05,44.52,22.77,67.7,5.85,1.01,September to March,tomato
Kerala,60.37,28.37,57.03,27.66,65.9,6.81,0.5,September to March,tomato
Haryana,82.69,48.11,44.88,14.25,65.7,7.32,0.04,November to March,wheat
Haryana,92.26,42.79,42.01,14.76,40.6,6.69,0,November to March,wheat
Madhya Pradesh,67.67,29.67,59.73,30.68,51.8,6.83,0.13,June to September,jowar
Tamil Nadu,115.9,60.4,78.32,30.16,80.3,7.11,2.18,February to October,sugarcane
Assam,39.98,33.03,35.05,31.34,51.2,7.31,1.69,June to September,bajra
Rajasthan,37.22,31.88,39.45,27.81,70.2,7.3,0.54,June to September,groundnut
Karnataka,36.22,31.74,31.01,26.99,63.2,6.62,3.66,June to September,soybean
Kerala,86.26,42.05,54.69,28.7,79.7,5.88,24.46,June to September,rice
Punjab,103.31,44.22,51.67,16.03,46.9,7.19,0,November to March,wheat
Nagaland,91.26,45.7,86.43,19.54,85,6.44,0.75,October to March,potato
Kerala,53.4,44.05,75.97,26.02,89.2,5.76,0.28,March to September,coffee
West Bengal,85.27,40.02,42.48,27.72,70.2,5.61,0.35,June to October,maize
Andhra Pradesh,39.32,22.57,48.53,34.03,50.5,6.43,0,June to September,bajra
Karnataka,65.6,57.4,64.78,22.98,89.2,5.18,0.42,March to September,coffee
West Bengal,87.15,38.08,64.5,18.1,81.4,6.76,0.51,October to March,potato
Kerala,71.51,48.71,74.88,24.45,87.9,6.5,0.63,March to September,coffee
Uttar Pradesh,110.42,58.54,92.86,34,82,6.54,0.59,February to October,sugarcane
Madhya Pradesh,67.47,48.52,78.61,19.59,69.2,6.73,0,October to March,potato
Maharashtra,34.9,30.41,38.64,36.29,45.1,7.24,0.38,June to September,bajra
Punjab,85.41,50.36,37.39,18.91,53.3,7.57,0.16,November to March,wheat
Chhattisgarh,73.88,35.08,47.28,29,67.3,7.1,3.01,June to September,cotton
Uttar Pradesh,62.63,40.38,44.54,25.22,64,6.17,3.51,June to October,maize
West Bengal,98.07,49.47,59.58,27.64,85.3,6.41,5.83,June to September,rice
Tripura,56.21,38.45,47.93,28.29,62.6,7.1,2.37,June to September,cotton
Telangana,48.19,24.6,49.13,35.03,49.4,7.02,3.48,June to September,bajra
Uttar Pradesh,44.13,30.26,48.97,22.24,50,7.06,0.04,October to February,pulses
Madhya Pradesh,94.95,58.35,45.75,21.67,59.4,6.46,0.98,November to March,wheat
Haryana,110.71,53.66,40.27,15.99,61.5,7.29,0.06,November to March,wheat
Punjab,86.35,50.95,56.9,20.44,66.6,6.48,1.15,October to March,potato
Karnataka,110.54,58.99,72.11,29.41,72.7,6.74,4.38,February to October,sugarcane
Jharkhand,61,35.93,47.02,25.85,68.6,7.19,3.8,June to October,maize
Madhya Pradesh,42.86,36.66,32.21,23.55,50.8,6.56,0,October to February,pulses
Madhya Pradesh,74.97,34.44,37.27,15.03,45.5,6.76,1.15,November to March,wheat
Karnataka,97.9,54.44,89.78,31.24,83.3,7.48,2.1,February to October,sugarcane
Gujarat,59.06,41.06,70.07,21.8,68.4,7.2,0.83,October to March,onion
Haryana,63.56,34.25,55.36,31.69,44,5.79,1.09,June to September,jowar
Kerala,65.47,30.46,59.75,22.93,69.9,6.5,0,October to March,onion
Uttar Pradesh,58.74,37.47,46.29,22.5,69.8,6.93,0.79,October to March,onion
Jharkhand,57.56,46.27,48.21,21.83,67.6,6.36,0,October to March,onion
West Bengal,91.61,45.61,57.05,27.99,82,6.74,1.76,June to September,rice
Chhattisgarh,48.29,34.54,30.92,32.75,54,6.79,0.43,June to September,bajra
Kerala,107.79,50.51,50.55,28.11,88,6.11,0.27,June to September,rice
Maharashtra,110.2,53.35,73.7,29.57,88.6,6.4,7.21,February to October,sugarcane
Nagaland,72.29,42.14,47.99,26.44,79.4,6.77,0.35,September to March,tomato
Haryana,123.23,37.4,53.37,18.57,52.1,6.45,0.89,November to March,wheat
Assam,44.61,22.81,42.51,26.82,67.6,6.48,4.55,June to September,soybean
Karnataka,66.77,46.86,64.86,22.13,90.6,5.72,2.42,March to September,coffee
Tripura,83.75,46.34,45.33,28.95,67.8,6.41,0,June to October,maize
Himachal Pradesh,38.52,45.44,42.05,25.57,70.3,6.27,2.49,June to September,groundnut
Jharkhand,45.55,41.17,51.63,22.99,68.1,5.91,0.22,September to March,tomato
Manipur,39.44,38.43,56.68,27.59,66.3,6.38,9.89,June to September,groundnut
Karnataka,50.77,34.27,30.4,25.18,62.2,7.03,4.35,October to February,pulses
Uttarakhand,61.95,39.99,59.65,30.54,68.5,7.02,0.93,June to September,cotton
Karnataka,42.55,24.39,35.76,29.8,67.7,7.25,8.18,June to September,soybean
Haryana,36.25,39.47,34.79,28.58,69.7,6.37,1.77,June to September,groundnut
Manipur,73.17,36.44,37.81,28.62,71,7.05,0.25,June to October,maize
Goa,77.63,43.59,70.22,20.82,72.5,7.13,0.51,October to March,onion
Nagaland,70.55,28.98,57.6,30.29,53.4,6.62,0.4,June to September,jowar
Nagaland,81.35,41.34,51.98,30,48.2,7.05,2.18,June to September,jowar
Chhattisgarh,57.55,31.69,52.66,31.24,67.8,6.23,0.22,June to September,jowar
West Bengal,58.52,20.68,33.61,35.16,47,7.1,3.55,June to September,bajra
Kerala,69.22,37.44,46.19,25.29,65.8,7.19,1.24,June to October,maize
Tamil Nadu,53.84,45.97,65.25,21.09,73,6.08,0.83,March to September,coffee
Himachal Pradesh,57.72,34.97,69.37,20.01,67.7,6.84,0,October to March,onion
Rajasthan,49.55,30.69,55.86,31.08,55.9,6.48,1.3,June to September,jowar
Andhra Pradesh,91.18,53.3,59.67,28.26,79.2,6.65,0.98,June to September,rice
Madhya Pradesh,84.43,49.48,45.89,17.7,54.7,7.31,0.89,November to March,wheat
Bihar,95.24,51.3,67.78,17.24,75.3,6.37,0.53,October to March,potato
Rajasthan,68.1,30.46,37.04,29.97,63.3,6.12,3.05,June to September,cotton
Maharashtra,93.48,49.02,44.38,28.07,86.2,6.44,21.64,June to September,rice
Karnataka,107.26,63.95,80.63,28.74,77.8,6.25,2.79,February to October,sugarcane
Uttar Pradesh,96.13,57.28,82.9,30.78,83.8,6.7,0,February to October,sugarcane
Kerala,90.53,40.94,37.22,28.45,88.3,6.61,2.58,June to September,rice
Kerala,84.28,41.94,48.92,28.53,88.2,7.5,5.26,June to September,rice
Odisha,67.54,33,45.29,23.41,72.5,7.35,6.77,September to March,tomato
Tripura,82.56,47.08,49.67,25.02,81.3,6.24,5.91,April to September,tea
Gujarat,49.27,38.54,48.83,28.75,49.2,7.16,2.31,June to September,jowar
Haryana,77.07,33.77,36.57,25.63,53.9,7.17,0.9,June to September,jowar
Uttar Pradesh,107.41,71.19,86.68,33.22,86.9,6.48,0.96,February to October,sugarcane
Tamil Nadu,80.37,54.7,50.69,29.11,76.6,7,0.22,June to September,rice
Punjab,51.65,31.5,62.58,32.13,48.1,7.57,1.56,June to September,bajra
Assam,50.68,25.15,42.34,34.75,60,7.03,3.6,June to September,bajra
Uttar Pradesh,102.65,61,81.98,28.73,76.3,6.3,4.88,February to October,sugarcane
Odisha,40.01,38.09,48.02,29.83,72.5,5.69,0.47,June to September,groundnut
Haryana,70.08,40.88,51.04,27.91,64.3,7.12,0.01,June to September,cotton
Nagaland,68.16,52.32,80.22,19.49,77.3,6.77,0.13,October to March,potato
Assam,58.65,32.83,40.2,28.96,77.4,6.4,0.63,June to September,soybean
Madhya Pradesh,63.74,41.31,41.76,25.9,59.1,6.93,0,September to March,tomato
Tamil Nadu,91.25,45.41,48.4,25.3,64.3,6.02,4.25,June to October,maize
